Sample	Autorun_Processed	Autorun_date	Deduplication_date	DateLastMultiqc	ATLAS	ATLAS_lastMod	Coverage_inATLAS	Coverage_Autorun	Imputed	Imputation_date	GTL_output_published	GTL_output_date	IBD_v13.0	InMasterVCF_v13.0	covATLAS-covAutorun
KFJ011.A0101.TF1.2	YES	2022-04-01	2023-02-02	2023-02-02	YES	2023-04-28	1092126	1012792	YES	2023-05-03	YES	2023-05-03	YES	YES	79334
KFJ013.A0101.TF1.1	YES	2022-04-01	2023-02-06	2023-02-06	YES	2023-04-28	1077392	984902	YES	2023-05-03	YES	2023-05-03	YES	YES	92490
KFJ013.A0101.TF1.2	YES	2022-04-01	2023-02-06	2023-02-06	YES	2023-04-28	1077392	984902	YES	2023-05-03	YES	2023-05-03	YES	YES	92490
KFJ023.A0101.TF1.1	YES	2022-04-01	2023-02-17	2023-02-17	YES	2022-06-08	964498	831945	YES	2023-01-02	YES	2023-01-02	YES	YES	132553
KFJ041.A0101.SG1.1	YES	2026-04-10	2026-04-13	2026-04-13	YES	2023-04-28	948615	64	YES	2023-05-03	YES	2023-05-03	YES	YES	948551
KFJ041.A0101.TF1.1	YES	2022-04-01	2023-02-18	2023-02-18	YES	2023-04-28	948615	826551	YES	2023-05-03	YES	2023-05-03	YES	YES	122064
LOM042.B0101.SG1.1	YES	2022-12-05	2023-03-20	2023-03-20	YES	2023-11-08	388306	447	YES	2024-10-11	YES	2023-01-02	YES	YES	387859
LOM042.B0101.TF1.1	YES	2022-08-08	2022-09-09	2023-03-24	YES	2023-11-08	388306	247353	YES	2024-10-11	YES	2023-01-02	YES	YES	140953
PINT005.A0101.RM1.1	YES	2026-01-11	2026-01-14	2026-01-19	YES	2026-02-04	530878	346933	YES	2026-02-11	YES	2026-02-11	NO	NO	183945
PINT005.A0101.SG1.1	YES	2025-07-22	2025-09-19	2026-04-13	YES	2026-02-04	530878	544	YES	2026-02-11	YES	2026-02-11	NO	NO	530334
PINT011.A0101.RM1.1	YES	2026-01-11	2026-01-14	2026-01-19	YES	2026-02-04	320469	203707	YES	2026-02-11	NO		NO	NO	116762
PINT011.A0101.SG1.1	YES	2025-07-22	2025-10-01	2026-04-13	YES	2026-02-04	320469	801	YES	2026-02-11	NO		NO	NO	319668
